date,NKE,BRK-B,ORCL,IBM,AMGN,MCD,COST,VZ,PLTR,XOM,WMB,GOOGL,META,NFLX,LULU,SHW,GS,NVDA,AAPL,CRM,DIS,AXP,KMI,V,CAT,EPD,WMT,ET,HD,UNH,TRV,AVGO,MSFT,AMZN,TSLA,JPM,LLY,MA,JNJ,PG,MMM,CVX,KO,AMD,ASML
2025-09-22,2.5,21.7,8.05,11.94,21.6,13.36,20.05,4.85,0.85,7.49,2.44,10.63,30.03,32.39,13.43,12.77,52.3,6.34,7.98,12.7,6.48,17.31,1.37,12.84,21.16,2.87,2.94,1.57,16.3,18.08,25.62,9.2,18.2,7.56,2.43,20.67,,,,,,,,,
2025-09-23,2.5,21.7,8.06,11.94,21.6,13.36,20.05,4.84,0.85,7.44,2.44,10.63,30.03,32.39,13.39,12.77,52.37,6.34,7.98,12.7,6.48,17.31,1.37,12.84,21.16,2.87,2.94,1.57,16.3,18.08,25.6,9.2,18.2,7.56,2.42,20.73,,,,,,,,,
2025-09-24,2.5,21.7,8.05,11.94,21.6,13.36,20.05,4.84,0.85,7.44,2.44,10.63,30.03,32.39,13.39,12.77,52.37,6.34,7.98,12.7,6.48,17.31,1.37,12.84,21.16,2.87,2.94,1.57,16.3,18.09,25.6,9.23,18.2,7.57,2.42,20.73,,,,,,,,,
2025-09-25,2.47,21.7,7.99,11.94,21.6,13.36,22.16,4.84,0.85,7.45,2.44,10.63,30.03,32.39,13.52,12.77,52.56,6.34,7.98,12.7,6.48,17.31,1.37,12.84,21.16,2.87,2.94,1.57,16.27,18.09,25.6,9.23,18.18,7.57,2.42,20.73,,,,,,,,,
2025-09-26,2.47,21.7,7.99,11.94,21.6,13.36,22.15,4.84,0.85,7.45,2.44,10.63,30.03,32.39,13.52,12.77,52.56,6.35,7.98,12.7,6.47,17.31,1.37,12.85,21.16,2.87,2.94,1.57,16.27,18.09,25.6,9.23,18.16,7.57,2.42,20.73,,,,,,,,,
2025-09-30,2.51,21.7,7.99,11.94,21.6,13.36,22.19,4.84,0.85,7.45,2.43,10.64,30.05,32.39,13.44,12.74,52.78,6.35,8.0,12.7,6.45,17.3,1.37,12.85,21.19,2.87,2.94,1.57,16.27,18.09,25.6,9.23,18.16,7.58,2.42,20.86,,,,,,,,,
2025-10-01,2.51,21.7,7.99,11.94,21.6,13.36,22.19,4.84,0.85,7.45,2.43,10.64,30.05,32.39,13.44,12.74,52.99,6.35,7.98,12.7,6.46,17.3,1.37,12.85,21.21,2.87,2.94,1.57,16.27,18.09,25.62,9.23,18.16,7.58,2.43,20.94,,,,,,,,,
2025-10-02,2.52,21.7,8.0,11.94,21.6,13.35,22.19,4.84,0.85,7.45,2.42,10.65,30.05,32.39,13.44,12.74,53.2,6.35,7.99,12.7,6.46,17.31,1.37,12.85,21.21,2.87,2.94,1.57,16.27,18.09,25.62,9.23,18.16,7.58,2.42,20.94,,,,,,,,,
2025-10-03,2.52,21.7,8.0,11.94,21.6,13.35,22.19,4.84,0.85,7.47,2.42,10.65,30.05,32.39,13.44,12.74,53.14,6.35,7.99,12.7,6.45,17.31,1.37,12.85,21.21,2.87,2.94,1.57,16.27,18.09,25.62,9.23,18.16,7.58,2.43,20.95,30.36,18.99,11.39,7.39,8.6,9.23,3.21,,
2025-10-06,2.52,21.7,8.0,11.94,21.6,13.35,22.19,4.84,0.85,7.45,2.42,10.67,30.07,32.5,13.36,12.73,53.52,6.37,7.99,12.7,6.47,17.31,1.37,12.85,21.21,2.87,2.94,1.56,16.27,18.01,25.62,9.22,18.13,7.58,2.42,20.98,30.36,19.0,11.38,7.39,8.59,9.17,3.21,,
